"","Year","Area","Session","Chair","Title","Authors","Abstract"
"1",NA,NA,NA,NA,NA,NA,NA
"2",1997,"Analysis Methodology","Innovative Single-Run Model Execution","NA","Simulation Optimization Using Simultaneous Replications and Event Time Dilation","Lee Schruben (Cornell University)","NA"
"3",1997,"Analysis Methodology","Innovative Single-Run Model Execution","NA","Efficiency of Time Segmentation Parallel Simulation of Queueing Networks as a Function of the  Size of  the Network","Mehdi Hoseyni-Nasab (University of Wisconsin-Madison)   Sigrun Andradottir (Georgia Institute of Technology)","NA"
"4",1997,"Analysis Methodology","Innovative Single-Run Model Execution","NA","Single Run Optimization Using the Reverse-Simulation Method","Young Hae Lee (Purdue University)   Kyoung-Jong Park (Dong-il CIM Engineering)   Yun Bae Kim (Sung Kyun Kwan University)","NA"
"5",1997,"Analysis Methodology","Computational Efficiency in Output Analysis","Halim Damerdji (North Carolina State University)","Computational Experience with the Batch Means Method","Christos Alexopoulos (Georgia Institute of Technology)   George Fishman (University of North Carolina)   Andrew Seila (University of Georgia)","NA"
"6",1997,"Analysis Methodology","Computational Efficiency in Output Analysis","Halim Damerdji (North Carolina State University)","Computational Efficiency of Batching Methods","David Goldsman (Georgia Institute of Technology)   Bruce Schmeiser (Purdue University)","NA"
"7",1997,"Analysis Methodology","Computational Efficiency in Output Analysis","Halim Damerdji (North Carolina State University)","Computational Efficiency Evaluation in Output Analysis","Halim Damerdji (North Carolina State University)   Shane Henderson (University of Michigan)   Peter Glynn (Stanford University)","NA"
"8",1997,"Analysis Methodology","Variance Reduction Techniques"," Michael Fu (University of Maryland)","Efficient Simulation of Multiclass Queueing Networks","Shane Henderson (University of Michigan)   Sean Meyn (University of Illinois-Urbana/CSL)","NA"
"9",1997,"Analysis Methodology","Variance Reduction Techniques"," Michael Fu (University of Maryland)","A New Variance-Reduction Technique for Regenerative Simulations of Markov Chains","James Calvin, Marvin Nakayama (New Jersey Institute of Technology)","NA"
"10",1997,"Analysis Methodology","Variance Reduction Techniques"," Michael Fu (University of Maryland)","Descriptive Sampling: An Improvement Over Latin Hypercube Sampling","Eduardo Saliby (Universidade Federal de Rio de Janeiro)","NA"
"11",1997,"Analysis Methodology","Statistical Analysis of Simulation Output Data","K. Preston White, Jr. (University of Virginia)","The Impact of Transients on Simulation Variance Estimators","Daniel Ockerman (Retek Information Systems)   David Goldsman (Georgia Institute of Technology)","NA"
"12",1997,"Analysis Methodology","Statistical Analysis of Simulation Output Data","K. Preston White, Jr. (University of Virginia)"," Weighted Jackknife-After-Bootstrap: A Heuristic Approach","Jin Wang (Valdosta State University)   J. Sunil Rao (The Cleveland Clinic Foundation-P88)   Jun Shao (University of Wisconsin)","NA"
"13",1997,"Analysis Methodology","Statistical Analysis of Simulation Output Data","K. Preston White, Jr. (University of Virginia)","Optimal Quadratic-Form Estimator of the Variance of the Sample Mean","Wheyming Song (National Tsing Hua University)   Neng-Hui Shih (National Ping Tung Institute of Commerce)   Mingjian Yuan (National Yuanlin Institute of Technology)","NA"
"14",1997,"Analysis Methodology","Sensitivity Analysis of Model Uncertainty","Russell Cheng (University of Kent at Canterbury)","Bayesian Analysis for Simulation Input and Output","Stephen Chick (University of Michigan)","NA"
"15",1997,"Analysis Methodology","Sensitivity Analysis of Model Uncertainty","Russell Cheng (University of Kent at Canterbury)","Sensitivity Analysis of Model Output: Variance-Based Methods Make the Difference","Karen Chan, Stefano Tarantola, Andrea Saltelli (European Commission Joint Research   Center)","NA"
"16",1997,"Analysis Methodology","Sensitivity Analysis of Model Uncertainty","Russell Cheng (University of Kent at Canterbury)","On the Efficiency of the Splitting and Roulette Approach for Sensitivity Analysis","Viatcheslav Melas (St. Petersburg State University)","NA"
"17",1997,"Analysis Methodology","Sensitivity Analysis of Model Uncertainty","Russell Cheng (University of Kent at Canterbury)","Searching for Important Factors: Sequential Bifurcation Under Uncertainty","Russell Cheng (University of Kent at Canterbury)","NA"
"18",1997,"Analysis Methodology","Input Modeling and Process Generation","Michael Taaffe (University of Minnesota)","Simulation of Multivariate Extreme Values","S. Nadarajah (University of Plymouth)","NA"
"19",1997,"Analysis Methodology","Input Modeling and Process Generation","Michael Taaffe (University of Minnesota)","Estimating and Simulating Poisson Processes with Trends or Asymmetric Cyclic Effects","Michael Kuhl (Louisiana State University)   Halim Damerdji, James Wilson (North Carolina State University)","NA"
"20",1997,"Analysis Methodology","Input Modeling and Process Generation","Michael Taaffe (University of Minnesota)","Sensitivity of Output Performance Measures to Input Distributions in Queueing Simulation  Modeling","Donald Gross (George Mason University)   Man Juttijudata (Thai Investment & Securities Public Company Ltd.)","NA"
"21",1997,"Analysis Methodology","Metamodeling for Design and Optimization","Russell Cheng (University of Kent at Canterbury)","Covalidation of Dissimilarly Structured Models","Samuel Wright, Kenneth Bauer Jr. (Air Force Institute of Technology)","NA"
"22",1997,"Analysis Methodology","Metamodeling for Design and Optimization","Russell Cheng (University of Kent at Canterbury)","Design of Experiments for Fitting Subsystem Metamodels","Russell Barton (Penn State University)","NA"
"23",1997,"Analysis Methodology","Metamodeling for Design and Optimization","Russell Cheng (University of Kent at Canterbury)","A User Interface to Support Experimental Design and Data Exploration of Complex, Deterministic  Simulation","L. Herren, Pamela Fink,Christopher Moehle (Medical Science Systems, Inc.)","NA"
"24",1997,"Analysis Methodology","Selecting the Best System via Simulation","Denise Masi (George Mason Univeristy)","Selecting the Best System: A Decision-Theoretic Approach","Stephen Chick (University of Michigan)","NA"
"25",1997,"Analysis Methodology","Selecting the Best System via Simulation","Denise Masi (George Mason Univeristy)","New Development of Optimal Computing Budget Allocation for Discrete Event Simulation","Hsiao-Chang Chen, Chun-Hung Chen (University of  Pennsylvania)    Liyi Dai (Washington University)   Enver Yucesan (INSEAD)","NA"
"26",1997,"Analysis Methodology","Selecting the Best System via Simulation","Denise Masi (George Mason Univeristy)","How Common Random Numbers Affect Multinomial Selection","J. O. Miller, Kenneth Bauer, Jr. (Air Force Institute of Technology)","NA"
"27",1997,"Analysis Methodology","Global Optimization via Simulation","Sheldon Jacobson (Virginia Tech)","Comparison of Monte Carlo and Deterministic Methods for Non-Adaptive Optimization","Hisham Al-Mharmah (University of Jordan)   James Calvin (New Jersey Institute of Technology)","NA"
"28",1997,"Analysis Methodology","Global Optimization via Simulation","Sheldon Jacobson (Virginia Tech)","Accelerating the Convergence of the Stochastic Ruler Method for Discrete Stochastic Optimization","Mahmoud Alrefaei (Jordan University of Science & Technology)    Sigrun Andradottir (Georgia Institute of Technology)","NA"
"29",1997,"Analysis Methodology","Global Optimization via Simulation","Sheldon Jacobson (Virginia Tech)","An Integrated Framework for Deterministic and Stochastic Optimization","Leyuan Shi, Sigurdur Olafsson (University of Wisconsin-Madison)","NA"
"30",1997,"General Applications ","Construction Engineering","NA","AP2-Earth: A Simulation Based System for the Estimating and Planning of Earth Moving  Operations","Dany Hajjar, Simaan AbouRizk (University of Alberta)","NA"
"31",1997,"General Applications ","Construction Engineering","NA","Petri Net Based Simulation of Construction Schedules","Anil Sawhney (Western Michigan University)","NA"
"32",1997,"General Applications ","Construction Engineering","NA"," A Framework for Incorporating Dynamic Strategies in Earth-Moving Simulations","Govindan Kannan, Julio Martinez, Michael Vorster (Virginia Tech","NA"
"33",1997,"General Applications ","Model Development and Modeling Environments","Edward Watson (Louisiana State University)","A Conceptual Activity Cycle-Based Simulation Modeling Method","Jingsheng Shi (City University of Hong Kong)","NA"
"34",1997,"General Applications ","Model Development and Modeling Environments","Edward Watson (Louisiana State University)","A General Framework for Large Scale Systems Development","Aleks Gollu, Farokh Eskafi (California PATH)","NA"
"35",1997,"General Applications ","Model Development and Modeling Environments","Edward Watson (Louisiana State University)","The Integrated Performance Modeling Environment-Simulating Human-System Performance","David Dahn, Ronald Laughery (Micro Analysis and Design, Inc.)","NA"
"36",1997,"General Applications ","Health Systems Applications","Bill Moll (Coopers & Lybrand)","Simulation of the Question Physician Network","James Swisher, Brian Jun (Biological & Popular Culture, Inc.)   Sheldon Jacobson, Osman Balci (Virginia Tech)","NA"
"37",1997,"General Applications ","Health Systems Applications","Bill Moll (Coopers & Lybrand)","A Generalised  Simulation System to Support Strategic Resource Planning in Healthcare","Martin Pitt (University of Manchester)","NA"
"38",1997,"General Applications ","Health Systems Applications","Bill Moll (Coopers & Lybrand)","Integrated Medical Analysis System","Susan Mabry, Samuel Rodriquez, James Heffernan   (Northtrop Grumman Corporation)","NA"
"39",1997,"General Applications ","Simulation Along the Coast","Eric Seeyave (AutoSimulations, Inc.)","A Simulation Environment for the Coordinated Operation of Multiple Autonomous Underwater Vehicles","Joao Borges de Sousa (University of California at Berkeley)    Aleks Gollu (California PATH)","NA"
"40",1997,"General Applications ","Simulation Along the Coast","Eric Seeyave (AutoSimulations, Inc.)","The Use of a Template-Based Methodology in the Simulation of a New Cargo Track from  Rotterdam Harbor to Germany","Alexander Pater, Maurice Teunisse ( p/a Incontrol Business Engineers)","NA"
"41",1997,"General Applications ","Simulation Along the Coast","Eric Seeyave (AutoSimulations, Inc.)","Application of Simulation Modeling to Emergency Population Evacuation","Kambiz Farahmand (Texas A&M University-Kingsville)","NA"
"42",1997,"General Applications ","Transportation Applications","Michael Zeimer (Schneider Logistics, Inc.)","Simulation Based Approach to Study the Interaction of Scheduling and Routing on a Logistic Network","Alex Ruiz-Torres (Florida Gulf Coast University)   John Tyworth (Penn State University)","NA"
"43",1997,"General Applications ","Transportation Applications","Michael Zeimer (Schneider Logistics, Inc.)","A Simulation Approach for Analyzing Parking Space Availability at a Major University","John Harris (Clemson University)   Yasser Dessouky (Miami University)","NA"
"44",1997,"General Applications ","Transportation Applications","Michael Zeimer (Schneider Logistics, Inc.)","SmartATMS: A Simulator for Air Traffic Management Systems","Tak-Kuen Koo, Yi Ma,George Pappas, Claire Tomlin (University of California at Berkeley)","NA"
"45",1997,"General Applications ","Logistics Applications","Grace Lin (IBM Research)","Million Dollar Logistic Decisions Using Simulation","Michael Carr (Center for Entrepreneurial Studies & Development, Inc.)   Howard Way (Tropicana Products, Inc.)","NA"
"46",1997,"General Applications ","Logistics Applications","Grace Lin (IBM Research)","Using a Simulation Model to Evaluate the Configuration of a Sortation Facility","Dale Masel (Penn State University)   David Goldsmith (Automated Systems Integration Corp.)","NA"
"47",1997,"General Applications ","Logistics Applications","Grace Lin (IBM Research)","Simulation-Based Approach to the Warehouse Location Problem for a Large-Scale Real Instance","Kazuyoshi Hidaka, Hiroyuki Okano (IBM Japan Ltd.)","NA"
"48",1997,"General Applications ","Street and Highway Traffic","Daniel Brunner (Systemflow Simulations)","Urban Traffic Simulation with Psycho-Physical Vehicle-Following Models","Thomas Schulze (Technical University at Dresden)   Thomas Fliess (Otto-von-Guericke University Magdeburg)","NA"
"49",1997,"General Applications ","Street and Highway Traffic","Daniel Brunner (Systemflow Simulations)","Development and Application of an Intermodal Mass Transit Simulation with Detailed Traffic  Modeling","Joseph Brill (Systemflow Simulations)   Dudley Whitney (Parsons Brinckerhoff)","NA"
"50",1997,"General Applications ","Street and Highway Traffic","Daniel Brunner (Systemflow Simulations)","The Importance of Simulation Techniques in its Research and Analysis","Jim Clark (Federal Highway Administration)   Gene Daigle (Kaman Sciences Corporation)","NA"
"51",1997,"General Applications ","Transportation and Logistics Panel","John Carson (AutoSimulations, Inc.)","Panel on Transportation and Logistics Modeling","John Carson (AutoSimulations, Inc.)   Mani Manivannan (CNF Transportation Company)   Mark Brazier (CSX Transportation)   Eric Miller (SABRE Technology Solutions)   Donald Ratliff (Georgia Institute of Technology)","NA"
"52",1997,"General Applications ","Non-Traditional Applications","Onur Ulgen (Production Modeling Corporation)","Forecasting Investment Opportunities Through Dynamic Simulation","Stephen Parker (Parker Industrial Engineering & Computer Simulation Corp.)","NA"
"53",1997,"General Applications ","Non-Traditional Applications","Onur Ulgen (Production Modeling Corporation)","Simulation of Lumber Processing for Improved Raw Material Utilization","Timothy Striess ( Robert C. Byrd Hardwood Technology Center)","NA"
"54",1997,"General Applications ","Non-Traditional Applications","Onur Ulgen (Production Modeling Corporation)","Simulation of a Signal Quality Survey","Douglas   Morrice, Astrid Kenyon (University of Texas at Austin)   Peter Mullarkey, Jingfang Zhou (Schlumberger Austin Research)    Herb Schwetman (Mesquite Software)","NA"
"55",1997,"Introductory Tutorials","An Introduction to Simulation","NA","Introduction to Modeling and Simulation","Anu Maria (SUNY at Binghamton)","NA"
"56",1997,"Introductory Tutorials","An Introduction to  Simulation Software","Ann Dunkin (Hewlett Packard)","Inside Discrete-Event Simulation Software: How it Works and Why it Matters","Thomas Schriber (University of Michigan)   Daniel Brunner (Systemflow Simulations, Inc.)","NA"
"57",1997,"Introductory Tutorials","An Introduction to Simulation Design and Analysis","Joan Donohue (University of South Carolina)","Statistical Analysis of Simulation Output","David Kelton (University of Cincinnati)","NA"
"58",1997,"Introductory Tutorials","An Introduction to Simulation Design and Analysis","Joan Donohue (University of South Carolina)","It Is a Far, Far Better Mean I Find...","Susan Sanchez (University of Missouri-St. Louis)","NA"
"59",1997,"Introductory Tutorials","An Introduction to Input Modeling","Steve Park (College of William and Mary)","Seven Habits of Highly Successful Input Modelers","Larry Leemis (College of William and Mary)","NA"
"60",1997,"Introductory Tutorials","An Introduction to Input Modeling","Steve Park (College of William and Mary)","Modeling Dependencies in Stochastic Simulation Inputs","James Wilson (North Carolina State University)","NA"
"61",1997,"Introductory Tutorials","An Introduction to Verification, Validation & Accreditation","John Steffey (TRAC LEE)","Simulation Model Verification and Validation:  Increasing the Users' Confidence","Stewart Robinson (Aston Business School)","NA"
"62",1997,"Introductory Tutorials","An Introduction to Verification, Validation & Accreditation","John Steffey (TRAC LEE)","Optimizing the Selection of V V & A Activities-A Risk/Benefit Approach","Paul Muessig (Naval Air Warfare Center)   Dennis Laack, John Wrobleski (Computer Sciences Corp.)","NA"
"63",1997,"Introductory Tutorials","An Introduction to Scheduling with Simulation","Eric Yang (Delta Airlines, Inc.)","An Introduction to Planning and Scheduling with Simulation","Roger Beadle (Lanner Group, Inc.)","NA"
"64",1997,"Introductory Tutorials","An Introduction to Visualization of Simulation Data","Lawrence Leemis (College of William & Mary)","Visualize a Port in Africa","James Robinson (LEXIS-NEXIS)","NA"
"65",1997,"Introductory Tutorials","An Introduction to Object-Oriented Simulation","D. J. Joshi (Motorola)","An Introduction to Object-Oriented Simulation in C++","Jeffrey Joines, Stephen Roberts (North Carolina State University)","NA"
"66",1997,"Introductory Tutorials","An Introduction to Manufacturing Simulation","Timothy Miller (Systemflow Simulations)","Simulation of Manufacturing Systems","Averill Law, Michael McComas (Averill M. Law & Associates, Inc.)","NA"
"67",1997,"Manufacturing","Analysis of Manufacturing Systems","NA","Simulation of a Paint Shop Power and Free Line","Edward Williams (Ford Motor Company)   Shigeru Sadakane (Production Modeling Corporation)","NA"
"68",1997,"Manufacturing","Analysis of Manufacturing Systems","NA","Using a Simulation to Generate the Data to Balance an Assembly Line","Mark Grabau (United States Air Force)   Ruth Maurer (Walden University)   Dennis Ott (Coors Brewing Company)","NA"
"69",1997,"Manufacturing","Analysis of Manufacturing Systems","NA","Simulation of a New Product Workcell","Ron Shady, Gary Spake, Brad Armstrong (ABB Power T&D Company, Inc.)","NA"
"70",1997,"Manufacturing","Capacity Planning","Tom Jefferson (Intel Corporation)","Pallet Optimization and Throughput Estimation via Simulation","Edward Williams (Ford Motor Company)   Andrew Gevaert (Production Modeling Corporation)","NA"
"71",1997,"Manufacturing","Capacity Planning","Tom Jefferson (Intel Corporation)","Using Simulation to Schedule Manufacturing Resources","Hank Czarnecki, Bernard Schroer, M. Rahman (University of    Alabama in Huntsville)","NA"
"72",1997,"Manufacturing","Capacity Planning","Tom Jefferson (Intel Corporation)","Applications of Discrete Event Simulation in the Design of Automotive Powertrain Manufacturing   Systems","Arun Jayaraman, Ali Gunal (Production Modeling Corporation)","NA"
"73",1997,"Manufacturing","Backward Simulation","Phillip Farrington (University of Alabama in Huntsville) ","A Simulation-Based Backward Planning Approach for Order-Release","Edward Watson (Louisiana State University)   Deborah Medeiros (Penn State University)   Randall Sadowski (Systems Modeling Corporation)","NA"
"74",1997,"Manufacturing","Backward Simulation","Phillip Farrington (University of Alabama in Huntsville) ","Experiences with Backward Simulation Based Approach for Lot Release Planning","Sanjay Jain, Stephen Chan (Gintic Institute of Manufacturing Technology)","NA"
"75",1997,"Manufacturing","Backward Simulation","Phillip Farrington (University of Alabama in Huntsville) ","Evaluating Embedded Decision Processes of Manufacturing Systems Through Simulation","S. Cem Karacal (Southern Illinois University)","NA"
"76",1997,"Manufacturing","Manufacturing Simulation Consulting Forum","Brad Armstrong (ABB Power T&D)","Manufacturing Simulation Consultants' Forum","Brad Armstrong (ABB Power T&D Company, Inc.)   Michelle Benjamin (Textile/Clothing Technology Corporation)    Marvin Seppanen (Productive Systems)   Richard Kilgore (Thread Technologies)   Charles White (DuPont)","NA"
"77",1997,"Manufacturing","Flexible Manufacturing Systems","David Bartholic (ABB Power T&D)","The Use of Simulation in Activity-Based Costing for Flexible Manufacturing Systems","Soemon Takakuwa (Nagoya University)","NA"
"78",1997,"Manufacturing","Flexible Manufacturing Systems","David Bartholic (ABB Power T&D)","Flexible Modeling of Manufacturing Systems with Variable Levels of Detail","Tillal Eldabi, Ray Paul (Brunel University)","NA"
"79",1997,"Manufacturing","Flexible Manufacturing Systems","David Bartholic (ABB Power T&D)","Part and Tool Flow Management in Multi-Cell Flexible Manufacturing System","Mustafa Ozbayrak (Marmara University)   Kursad Turker, Melek Pisman (Sakarya University)","NA"
"80",1997,"Manufacturing","Inventory Management","K. Heinz Weigl (Technical University of Vienna)","Evaluating Forecasting Algorithms and Stocking Level Strategies Using Discrete-Event Simulation","Gregory Clay, Frank Grange (Perot Systems Corporation)","NA"
"81",1997,"Manufacturing","Inventory Management","K. Heinz Weigl (Technical University of Vienna)","Evaluation of a (R,s,Q,c) Multi-Item Inventory Replenishment Policy Through Simulation","Carlos Ramirez Cerda (Avenida Industria Automotriz S/W)    Armando Espinosa de los Monteros F. (ITESM Campus Toluca)","NA"
"82",1997,"Manufacturing","Inventory Management","K. Heinz Weigl (Technical University of Vienna)","Real Time Discrete Event Simulation of a PCB Production System for Operational Support","Mats Jackson (ABB Management  Consultants AB)   Christer Johansson (Linkoping University)","NA"
"83",1997,"Manufacturing","Finite-Capacity Scheduling","Darrell Starks (Integral Solutions)","A Simulation-Based Finite Capacity Scheduling System","Alexander Weintraub, Andrew Zozom Jr., Thom Hodgson,   Denis Cormier (North Carolina State University)","NA"
"84",1997,"Manufacturing","Finite-Capacity Scheduling","Darrell Starks (Integral Solutions)","A Simulation-Based Controller for Distributed Discrete-Event Systems with Application to Flexible  Manufacturing","Fernando Gonzalez, Wayne Davis (University of Illinois at Urbana-Champaign)","NA"
"85",1997,"Manufacturing","Finite-Capacity Scheduling","Darrell Starks (Integral Solutions)","Creating a Flexible, Simulation-Based Finite Scheduling Tool","Barbara Mazziotti, Richard Horne, Jr. (Textile/Clothing Technology Corporation)","NA"
"86",1997,"Manufacturing","Sequencing and Scheduling Applications","Barbara Hurley (ABB ETI)","Application of Simulation to Scheduling, Sequencing, and Material Handling","Edward Williams (Ford Motor Company)   Ramu Narayanaswamy (Production Modeling Corporation)","NA"
"87",1997,"Manufacturing","Sequencing and Scheduling Applications","Barbara Hurley (ABB ETI)","A Sortation System Model","Arun Jayaraman, Ramu Narayanaswamy, Ali Gunal (Production Modeling Corporation)","NA"
"88",1997,"Manufacturing","Sequencing and Scheduling Applications","Barbara Hurley (ABB ETI)","Efficient Simulation/Optimization of Dispatching Priority with ""Fake"" Processing Time","Susumu Morito, Keun Hyung Lee (Waseda University)","NA"
"89",1997,"Manufacturing","Manufacturing Applications","Jaime Trevino (ABB)","A Simulation Testbed for Comparing the Performance of Alternative Control Architectures","Paul Rogers, Robert Brennan (University of Calgary)","NA"
"90",1997,"Manufacturing","Manufacturing Applications","Jaime Trevino (ABB)","Simulation of Group Work Processes in Manufacturing","Willi Bernhard, Alex Schilling (Basel Institute of Technology)","NA"
"91",1997,"Manufacturing","Manufacturing Applications","Jaime Trevino (ABB)","Solving Engine Maintenance Capacity Problems with Simulation","Robert Gatland, Eric Yang (Delta Air Lines, Inc.)   Kenneth Buxton (Georgia Institute of Technology)","NA"
"92",1997,"Military Applications  ","Operational Modeling","NA","Object-Oriented Simulation of Paratrooper-Vortex Interactions","Glenn Bailey, Jose Belano, Phillip Beran, Jack Kloeber,    Hans Petry (Air Force Institute of Technology)","NA"
"93",1997,"Military Applications  ","Operational Modeling","NA","Sea Based Logistics: Distribution Problems for Future Global Contingencies","Keebom Kang, Kevin Gue (Naval Postgraduate School)","NA"
"94",1997,"Military Applications  ","Operational Modeling","NA","Eagle View: A Simulation Tool for Wing Operations","Eric Zahn, Kerris Renken (TASC)","NA"
"95",1997,"Military Applications  ","Verification and Validation for Combat Modeling","Dean Hartley III (Oak Ridge National Labs)","Verification & Validation in Military Simulations","Dean Hartley III (Oak Ridge National Labs)","NA"
"96",1997,"Military Applications  ","Verification and Validation for Combat Modeling","Dean Hartley III (Oak Ridge National Labs)","Applications of the Universal Joint Task List to Joint Exercise Results","Samuel Parry, Michael McAneny, Richard Dromerhauser   (Naval Postgraduate School)","NA"
"97",1997,"Military Applications  ","Verification and Validation for Combat Modeling","Dean Hartley III (Oak Ridge National Labs)","System Concept Development with Virtual Prototyping","James Schaaf, Jr., Faye Thompson (BDM International)","NA"
